RPS24	SBDS
RPS24	TP53
RPS24	RPS26
RPS24	TSR2
RPS24	RPS29
RPS24	SRP54
RPS24	RPS7
RPS24	RPS28
RPS26	SBDS
RPS26	TP53
RPS26	SRP54
RPS26	RPS29
RPS26	RPS7
RPS26	RPS28
RPS26	TSR2
RPS28	SBDS
RPS28	TSR2
RPS28	RPS29
RPS28	SRP54
RPS28	RPS7
RPS29	SBDS
RPS29	TSR2
RPS29	SRP54
RPS29	RPS7
RPS7	SBDS
RPS7	TP53
RPS7	SRP54
RUNX1	TP53
RUNX1	TAL1
RUNX1	SETD2
RUNX1	THPO
RUNX1	TERT
RUNX1	SH2B3
RUNX1	SETBP1
RUNX1	SRSF2
RUNX1	TET2
SAMD9	SAMD9L
